epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5697,3.93659,4.89515,2.94545,0,0,0,0,4.33841,4.95181,3.32999,1.176e-05,1.176e-05,1.176e-05
2,29.1698,3.98495,4.86775,2.97072,0,0,0,0,4.27376,4.89167,3.30453,2.88179e-05,2.88179e-05,2.88179e-05
3,41.8554,3.91061,4.84442,2.85139,0,0,0,0,4.3989,4.80042,3.22202,4.51772e-05,4.51772e-05,4.51772e-05
4,54.4034,3.62409,4.76523,2.52249,0,0,0,0,4.36788,4.76506,3.22726,6.0838e-05,6.0838e-05,6.0838e-05
5,67.1854,3.25523,4.67785,2.24788,0,0,0,0,4.02693,4.71367,2.95491,7.58003e-05,7.58003e-05,7.58003e-05
6,78.9658,2.904,4.50299,1.98092,0.01437,0.03322,0.01542,0.00159,3.79994,4.63116,2.74215,9.0064e-05,9.0064e-05,9.0064e-05
7,91.105,3.02922,4.48905,2.0066,0.00215,0.02797,0.0101,0.002,3.64031,4.5907,2.68315,0.000103629,0.000103629,0.000103629
8,103.387,2.868,4.39895,1.88753,0.00192,0.02797,0.00888,0.00293,3.50113,4.57799,2.60554,0.000116496,0.000116496,0.000116496
9,116.175,2.79603,4.30752,1.87307,0.00248,0.0542,0.01456,0.004,3.43774,4.45886,2.46709,0.000128664,0.000128664,0.000128664
10,129.35,2.75261,4.29105,1.81491,0.00486,0.08566,0.01637,0.00413,3.43997,4.41735,2.37935,0.000140133,0.000140133,0.000140133
11,143.495,2.69725,4.10855,1.73965,0.00398,0.08042,0.01403,0.00372,3.3925,4.37616,2.23143,0.000150904,0.000150904,0.000150904
12,157.916,2.38393,4.00582,1.61549,0.00367,0.09266,0.01853,0.00308,3.36692,4.36878,2.17218,0.000160977,0.000160977,0.000160977
13,170.916,2.43819,3.98988,1.6115,0.0026,0.05944,0.01208,0.00258,3.42211,4.33052,2.18764,0.000170351,0.000170351,0.000170351
14,183.407,2.42115,3.83037,1.56966,0.00268,0.05944,0.01298,0.00189,3.42595,4.27415,2.225,0.000179026,0.000179026,0.000179026
15,196.215,2.31702,3.7521,1.53203,0.86056,0.02263,0.01861,0.00512,3.27777,4.24434,2.1568,0.000187003,0.000187003,0.000187003
16,208.23,2.26372,3.5948,1.51171,0.9484,0.02098,0.02621,0.00883,3.14132,4.23867,2.11015,0.000194281,0.000194281,0.000194281
17,220.333,2.17338,3.5586,1.46189,0.00344,0.09965,0.05135,0.02256,3.01285,4.10192,1.98662,0.000200861,0.000200861,0.000200861
18,232.736,2.26213,3.49477,1.47731,0.00356,0.11364,0.04369,0.01639,2.94232,4.07035,1.97052,0.000206742,0.000206742,0.000206742
